Stage,Method(D/D+M/D+M+V),Timing@QVA,Timing@VGA
D,dog,2.91E-02,1.01E-01
D,fast,4.09E-03,8.37E-03
D,glampoints,1.62E-02,5.89E-02
D,harris,2.56E-02,9.39E-02
D,harrislaplace,1.12E-01,4.25E-01
D,harrisnet,5.85E-03,1.05E-02
D,keynet,2.25E+00,2.57E+00
D,mser,4.87E-02,9.33E-02
D,surf,2.30E-02,8.85E-02
DM,brief,2.33E-03,1.46E-02
DM,brisk,2.10E-02,4.60E-02
DM,contextdesc,4.19E+00,4.72E+00
DM,d2net,1.01E-01,5.68E-01
DM,dog_brief,3.44E-02,1.23E-01
DM,dog_convopt,9.57E-01,2.54E+00
DM,dog_hardnet,9.77E-02,4.81E-01
DM,dog_openucn,2.96E-01,1.27E+00
DM,dog_rootsift,6.59E-02,2.76E-01
DM,dog_sift,1.50E-01,6.12E-01
DM,dog_siftnet,2.13E-01,5.93E-01
DM,dog_siftpca,1.80E-01,6.80E-01
DM,dog_surf,1.25E-01,4.45E-01
DM,dog_tfeat,1.65E-01,7.16E-01
DM,fast_brief,2.21E-02,6.49E-02
DM,fast_convopt,2.46E+00,4.47E+00
DM,fast_hardnet,2.11E-01,7.38E-01
DM,fast_openucn,1.16E+00,3.47E+00
DM,fast_rootsift,1.61E-01,3.52E-01
DM,fast_sift,5.84E-01,1.40E+00
DM,fast_siftnet,5.10E-01,9.89E-01
DM,fast_siftpca,6.61E-01,1.44E+00
DM,fast_surf,5.23E-01,1.14E+00
DM,fast_tfeat,5.86E-01,1.67E+00
DM,glampoints_brief,1.80E-02,7.18E-02
DM,glampoints_convopt,3.48E-01,1.49E+00
DM,glampoints_hardnet,4.27E-02,2.83E-01
DM,glampoints_openucn,1.13E-01,6.54E-01
DM,glampoints_rootsift,4.65E-02,1.93E-01
DM,glampoints_sift,5.94E-02,3.25E-01
DM,glampoints_siftnet,8.78E-02,3.77E-01
DM,glampoints_siftpca,8.74E-02,4.33E-01
DM,glampoints_surf,3.58E-02,2.19E-01
DM,glampoints_tfeat,5.11E-02,3.70E-01
DM,harris_brief,3.75E-02,1.71E-01
DM,harris_convopt,2.11E+00,5.36E+00
DM,harris_hardnet,2.03E-01,1.07E+00
DM,harris_openucn,9.27E-01,5.83E+00
DM,harris_rootsift,8.73E-02,4.35E-01
DM,harris_sift,3.73E-01,1.97E+00
DM,harris_siftnet,4.81E-01,1.49E+00
DM,harris_siftpca,3.71E-01,2.00E+00
DM,harris_surf,3.66E-01,1.94E+00
DM,harris_tfeat,4.37E-01,2.56E+00
